trial,testing,parameters_epsilon,parameters_alpha,initial_deadline,final_deadline,net_reward,action-legal,action-minor_violation,action-major_violation,action-minor_accident,action-major_accident,success
1,False,0.95,0.5,25,0,-74.05592947414569,17,1,5,2,0,0
2,False,0.8999999999999999,0.5,30,0,-70.72929174088428,25,1,1,2,1,0
3,False,0.8499999999999999,0.5,20,0,1.20826207416656,17,2,1,0,0,0
4,False,0.7999999999999998,0.5,25,0,-96.64433509362033,21,1,0,0,3,0
5,False,0.7499999999999998,0.5,25,0,30.990466648751372,25,0,0,0,0,0
6,False,0.6999999999999997,0.5,30,20,15.88703850452401,10,0,0,0,0,1
7,False,0.6499999999999997,0.5,20,4,30.858053422349453,16,0,0,0,0,1
8,False,0.5999999999999996,0.5,20,0,21.311360136485114,20,0,0,0,0,0
9,False,0.5499999999999996,0.5,20,11,13.117679741391601,9,0,0,0,0,1
10,False,0.4999999999999996,0.5,20,16,9.289779004947807,4,0,0,0,0,1
11,False,0.4499999999999996,0.5,20,0,31.150460955768654,20,0,0,0,0,0
12,False,0.39999999999999963,0.5,20,0,27.680836909647912,20,0,0,0,0,0
13,False,0.34999999999999964,0.5,20,0,23.441739475909813,20,0,0,0,0,0
14,False,0.29999999999999966,0.5,25,0,15.417416481011568,24,0,0,1,0,0
15,False,0.24999999999999967,0.5,20,10,12.799156757153696,10,0,0,0,0,1
16,False,0.19999999999999968,0.5,25,0,15.931916457617083,24,0,0,1,0,0
17,False,0.1499999999999997,0.5,25,7,27.784317349483782,18,0,0,0,0,1
18,False,0.09999999999999969,0.5,20,11,12.763344455204344,9,0,0,0,0,1
19,False,0.049999999999999684,0.5,35,0,41.85746902307013,35,0,0,0,0,0
20,False,-3.191891195797325e-16,0.5,20,0,25.811713206549378,20,0,0,0,0,0
1,True,0.0,0.0,20,0,32.05690814382665,20,0,0,0,0,0
2,True,0.0,0.0,25,0,32.8338477959244,25,0,0,0,0,0
3,True,0.0,0.0,20,0,29.068131213777754,20,0,0,0,0,0
4,True,0.0,0.0,20,0,30.623968167491174,20,0,0,0,0,0
5,True,0.0,0.0,30,9,39.453571695338006,21,0,0,0,0,1
6,True,0.0,0.0,20,0,24.30942470014422,20,0,0,0,0,0
7,True,0.0,0.0,20,0,20.524376207564313,20,0,0,0,0,0
8,True,0.0,0.0,20,0,29.87648525440989,20,0,0,0,0,0
9,True,0.0,0.0,20,14,9.838730566771906,6,0,0,0,0,1
10,True,0.0,0.0,20,0,30.107261564237696,20,0,0,0,0,0
