trial, legal, minor_viloation, major_violation, minor_accident, major_accident
1, 15, 3, 3, 1, 3
2, 14, 3, 29, 3, 1
3, 11, 4, 4, 1, 0
4, 13, 2, 2, 0, 3
5, 13, 3, 4, 0, 0
6, 12, 1, 6, 0, 1
7, 16, 2, 7, 0, 0
8, 18, 1, 7, 2, 2
9, 16, 1, 1, 0, 2
10, 14, 3, 4, 1, 3
11, 15, 2, 2, 0, 1
12, 15, 9, 5, 0, 1
13, 9, 2, 2, 0, 1
14, 11, 4, 2, 1, 2
15, 13, 2, 4, 1, 0
16, 16, 3, 2, 1, 3
17, 14, 1, 3, 0, 2
18 7, 3, 0, 1, 0
19, 15, 4, 10, 0, 1
20, 16, 4, 4, 0, 1
21, 11, 4, 2, 2, 1
22, 16, 2, 9, 2, 1
23, 16, 1, 1, 0, 2
